staff_id,height,weight,qualification,salary
30001,196.9,89.39,本科,16732
30002,179.8,59.18,硕士,1045
30003,174.2,43.4,本科,17458
30004,184.3,71.49,本科,7140
30005,151.5,52.14,本科,3976
30006,191.4,89.45,博士,7520
30007,152.3,88.6,本科,6225
30008,195.5,40.46,本科,8968
30009,153.8,47.11,本科,6291
30010,192.8,80.84,博士,9333
30011,182,89.83,本科,13150
30012,180.1,57.59,博士,17594
30013,181.9,68.07,硕士,6641
30014,152.9,37.22,本科,8081
30015,152.4,74.96,本科,2416
30016,152.2,81.96,硕士,14077
30017,184.4,36.36,本科,14357
30018,150.7,61.33,博士,17565
30019,191.4,74.73,博士,6371
30020,185.5,35.27,博士,19779
30021,167.2,58.32,本科,12687
30022,170.1,59.11,硕士,14379
30023,180.9,56.33,本科,15097
30024,176.7,82.33,博士,4275
30025,197.5,43.37,硕士,6727
30026,176.2,66.13,本科,4967
30027,163.1,52.54,博士,17225
30028,192.5,36.21,硕士,8679
30029,193.5,87.21,博士,15726
30030,165.4,55.18,硕士,21406
30031,166.7,87.72,博士,15561
30032,178.6,59.68,本科,18339
30033,171,42.48,博士,5634
30034,184.8,44.33,硕士,7269
30035,155.3,49.38,博士,10685
30036,156.2,35.01,博士,9619
30037,164.5,89.11,博士,6310
30038,168.2,74.38,硕士,12112
30039,170.7,65.09,博士,7143
30040,193.2,75.53,博士,13079
30041,186.8,81.96,硕士,9694
30042,188.6,43.18,硕士,4232
30043,184.2,69.12,本科,9747
30044,154.3,54.08,硕士,13334
30045,175.4,69.33,硕士,17642
30046,156,66.13,硕士,15337
30047,157.8,63.32,博士,17523
30048,154.7,38.98,本科,6475
30049,159.6,44.9,本科,7822
30050,162.5,46.48,博士,14177
30051,177.3,49.22,博士,17102
30052,193.7,36.36,本科,15569
30053,180.3,61.1,硕士,13281
30054,190.9,72.08,本科,15627
30055,180.9,62.11,本科,13414
30056,198.2,47.95,硕士,7393
30057,188.6,54.4,博士,14832
30058,150.9,87.72,本科,7563
30059,185.9,45.25,本科,17915
30060,183.3,82,博士,7199
30061,197.6,72.64,硕士,6461
30062,196.7,89.08,博士,10312
30063,154.4,56.69,硕士,11425
30064,171.6,39.77,硕士,16364
30065,192.7,62.73,硕士,9271
30066,192.2,50.06,硕士,7158
30067,151.6,62.33,硕士,15588
30068,162.7,78.1,硕士,3937
30069,172.1,80.41,硕士,16741
30070,174.6,82.97,本科,16034
30071,161.4,82.72,博士,7867
30072,176.8,45.36,硕士,15843
30073,180.7,73.64,硕士,18589
30074,165.5,72.79,博士,11020
30075,166.2,42.99,本科,3623
30076,179.1,78.87,博士,18123
30077,183.7,71.34,硕士,7695
30078,161.8,43.53,博士,7454
30079,174.3,59.82,硕士,7356
30080,181.5,66.82,本科,15081
30081,167.4,52.7,博士,9651
30082,162.5,53.44,博士,14231
30083,185.9,68.07,硕士,19995
30084,176,67.76,本科,8525
30085,163.7,45.68,博士,10088
30086,159.7,84.87,本科,13284
30087,174.3,78.82,本科,19581
30088,184.7,87.62,本科,13288
30089,153.2,48.96,硕士,6841
30090,178.8,46.8,硕士,8442
30091,165.6,64.24,博士,4964
30092,177.9,40.18,博士,-3847
30093,189.6,62.39,硕士,7747
30094,163.7,60.59,博士,25489
30095,194.7,47.81,本科,10680
30096,154,75.3,博士,10219
30097,177.7,73.55,本科,5869
30098,174.6,73.24,博士,5684
30099,161.5,85.45,本科,7001
30100,162.4,43.71,硕士,2991
30101,180,88.32,本科,7581
30102,191.4,52.68,本科,21582
30103,192.1,44.62,本科,10465
30104,168.4,61.99,硕士,16176
30105,187,40.02,硕士,6355
30106,183.6,35.93,本科,16187
30107,167.1,50.75,博士,8553
30108,193.5,74.41,硕士,8834
30109,185,70.82,博士,17765
30110,196.9,61.11,博士,13177
30111,167.7,71.67,硕士,4903
30112,163.3,41.98,本科,9542
30113,167.5,85.95,博士,9302
30114,182.6,71.42,硕士,3551
30115,155.2,65.74,硕士,7241
30116,161.5,85.9,本科,18772
30117,165.5,85.4,硕士,17073
30118,158.8,86.85,硕士,5807
30119,158.8,74.38,本科,13715
30120,179.6,73.31,本科,19970
30121,193.2,53,博士,13980
30122,193.9,72.91,博士,15696
30123,189.5,41,本科,13169
30124,172.2,57.94,博士,7593
30125,184,70.47,博士,15653
30126,198.6,75.19,本科,10876
30127,159,53.73,本科,8577
30128,172.5,37.99,博士,3719
30129,197,41.87,硕士,7580
30130,155,67.33,本科,8941
30131,161.5,43.77,博士,13140
30132,197.4,65.53,硕士,17129
30133,151.7,62.19,硕士,14205
30134,154.1,37.04,博士,18965
30135,179.9,46.08,博士,4474
30136,156,73.72,博士,9240
30137,198.9,72.96,本科,16655
30138,198.4,72.69,硕士,11817
30139,198,88,博士,12375
30140,198.5,88.95,本科,4182
30141,186.2,61.72,本科,10887
30142,180.5,37.65,博士,7165
30143,151.9,54.67,硕士,4043
30144,183.8,86.21,硕士,13545
30145,193.1,41.62,博士,15437
30146,180,37.92,博士,6957
30147,189.8,56.05,硕士,9739
30148,188.1,86.43,硕士,6735
30149,151.1,52.21,硕士,15823
30150,166.3,85.61,博士,16677
30151,181.9,79.4,本科,14156
30152,151.7,88.56,本科,9483
30153,190.8,87.45,本科,4307
30154,180.9,41.63,硕士,11149
30155,157.7,58.56,硕士,15643
30156,178.8,45.83,硕士,7041
30157,191.6,82.85,博士,16731
30158,190,75.73,硕士,20186
30159,160.7,65.43,本科,9603
30160,166.7,41.1,博士,7923
30161,166.5,67.19,硕士,14827
30162,196.3,87.34,博士,13585
30163,163,89.45,本科,4851
30164,178.9,68.33,本科,11734
30165,167.8,78.54,博士,16792
30166,175.9,73.74,本科,12563
30167,196.1,63.14,硕士,11967
30168,196.6,62.61,博士,9259
30169,158.1,47.16,本科,13519
30170,177.2,88.16,硕士,12834
30171,194.3,50.62,硕士,6651
30172,176.9,38,博士,5813
30173,178.3,65.11,本科,12859
30174,199.7,37.78,硕士,10421
30175,156.8,62.8,硕士,18683
30176,162.3,88.95,博士,17214
30177,180.7,77.92,博士,17065
30178,173.3,52.52,本科,12262
30179,193.5,37.44,硕士,10111
30180,178.9,41.81,博士,10703
30181,169.1,67.23,本科,9718
30182,176.4,65.95,本科,15801
30183,173.7,73.32,博士,13590
30184,185,41.91,本科,12769
30185,189.8,45.35,本科,3069
30186,186.9,78.76,硕士,11493
30187,158.1,86.3,博士,18194
30188,161.9,38.84,博士,19833
30189,167.2,52.65,本科,18988
30190,158.3,58.91,博士,9756
30191,154.5,44.2,硕士,20305
30192,193,56.13,硕士,19683
30193,153.8,55.79,本科,23191
30194,188.1,82.88,本科,20727
30195,158,62.43,本科,22194
30196,189.7,45.96,本科,14897
30197,162.3,46.91,博士,10969
30198,196.3,62.32,本科,8890
30199,164.9,42.21,本科,14523
30200,179.2,71.75,博士,7186
30201,161.6,77.03,本科,13889
30202,151.9,45.82,本科,23333
30203,196.7,54.55,硕士,5215
30204,196.5,59.88,博士,11159
30205,184.1,63.76,本科,1143
30206,157.3,43.38,本科,4835
30207,172.1,52.85,本科,14963
30208,151.6,56,本科,8750
30209,188.2,54.46,本科,14700
30210,160.7,47.05,博士,22942
30211,175.9,58.68,本科,19713
30212,166.3,38.98,本科,17525
30213,191.4,43.12,本科,12803
30214,175.6,63.25,本科,18570
30215,190.1,87.81,硕士,20568
30216,165.1,54.23,硕士,7360
30217,170.6,66.46,博士,20006
30218,178.9,48.58,本科,7245
30219,189,73.85,博士,11532
30220,174,63.89,博士,9203
30221,155.9,57.21,本科,13109
30222,158.5,60.07,博士,16661
30223,197.1,48.23,本科,15466
30224,185.3,68.55,硕士,6276
30225,194.2,65.31,博士,7128
