staff_id,height,weight,qualification,salary
30001,196.9,89.39,本科,13496
30002,179.8,59.18,硕士,8677
30003,174.2,43.4,本科,16124
30004,184.3,71.49,本科,8109
30005,151.5,52.14,本科,5517
30006,191.4,89.45,博士,7375
30007,152.3,88.6,本科,6212
30008,195.5,40.46,本科,9201
30009,153.8,47.11,本科,5897
30010,192.8,80.84,博士,11736
30011,182,89.83,本科,12737
30012,180.1,57.59,博士,17856
30013,181.9,68.07,硕士,8914
30014,152.9,37.22,本科,7349
30015,152.4,74.96,本科,4183
30016,152.2,81.96,硕士,11549
30017,184.4,36.36,本科,15421
30018,150.7,61.33,博士,17491
30019,191.4,74.73,博士,9503
30020,185.5,35.27,博士,19070
30021,167.2,58.32,本科,11711
30022,170.1,59.11,硕士,16401
30023,180.9,56.33,本科,15929
30024,176.7,82.33,博士,4182
30025,197.5,43.37,硕士,5867
30026,176.2,66.13,本科,7907
30027,163.1,52.54,博士,17139
30028,192.5,36.21,硕士,10285
30029,193.5,87.21,博士,17046
30030,165.4,55.18,硕士,19918
30031,166.7,87.72,博士,14960
30032,178.6,59.68,本科,17851
30033,171,42.48,博士,9950
30034,184.8,44.33,硕士,7918
30035,155.3,49.38,博士,11201
30036,156.2,35.01,博士,10583
30037,164.5,89.11,博士,6689
30038,168.2,74.38,硕士,11690
30039,170.7,65.09,博士,9589
30040,193.2,75.53,博士,12577
30041,186.8,81.96,硕士,10872
30042,188.6,43.18,硕士,10539
30043,184.2,69.12,本科,8677
30044,154.3,54.08,硕士,11743
30045,175.4,69.33,硕士,19214
30046,156,66.13,硕士,14515
30047,157.8,63.32,博士,17585
30048,154.7,38.98,本科,9681
30049,159.6,44.9,本科,5315
30050,162.5,46.48,博士,14512
30051,177.3,49.22,博士,16163
30052,193.7,36.36,本科,14052
30053,180.3,61.1,硕士,14045
30054,190.9,72.08,本科,16743
30055,180.9,62.11,本科,12927
30056,198.2,47.95,硕士,7140
30057,188.6,54.4,博士,19463
30058,150.9,87.72,本科,7866
30059,185.9,45.25,本科,18585
30060,183.3,82,博士,9897
30061,197.6,72.64,硕士,7478
30062,196.7,89.08,博士,7553
30063,154.4,56.69,硕士,12889
30064,171.6,39.77,硕士,16867
30065,192.7,62.73,硕士,11827
30066,192.2,50.06,硕士,10024
30067,151.6,62.33,硕士,12302
30068,162.7,78.1,硕士,4668
30069,172.1,80.41,硕士,16936
30070,174.6,82.97,本科,16637
30071,161.4,82.72,博士,8618
