staff_id,height,weight,qualification,salary
30001,196.9,89.39,本科,13423
30002,179.8,59.18,硕士,8605
30003,174.2,43.4,本科,16051
30004,184.3,71.49,本科,8035
30005,151.5,52.14,本科,5443
30006,191.4,89.45,博士,7302
30007,152.3,88.6,本科,6139
30008,195.5,40.46,本科,9128
30009,153.8,47.11,本科,5824
30010,192.8,80.84,博士,11663
30011,182,89.83,本科,12664
30012,180.1,57.59,博士,17783
30013,181.9,68.07,硕士,8841
30014,152.9,37.22,本科,7275
30015,152.4,74.96,本科,4110
30016,152.2,81.96,硕士,11476
30017,184.4,36.36,本科,15348
30018,150.7,61.33,博士,17418
30019,191.4,74.73,博士,9430
30020,185.5,35.27,博士,18998
30021,167.2,58.32,本科,11638
30022,170.1,59.11,硕士,16327
30023,180.9,56.33,本科,15857
30024,176.7,82.33,博士,4109
30025,197.5,43.37,硕士,5793
30026,176.2,66.13,本科,7833
30027,163.1,52.54,博士,17067
30028,192.5,36.21,硕士,10212
30029,193.5,87.21,博士,16973
30030,165.4,55.18,硕士,19845
30031,166.7,87.72,博士,14887
30032,178.6,59.68,本科,17777
30033,171,42.48,博士,9877
30034,184.8,44.33,硕士,7845
30035,155.3,49.38,博士,11128
30036,156.2,35.01,博士,10510
30037,164.5,89.11,博士,6617
30038,168.2,74.38,硕士,11617
30039,170.7,65.09,博士,9516
30040,193.2,75.53,博士,12504
30041,186.8,81.96,硕士,10799
30042,188.6,43.18,硕士,10466
30043,184.2,69.12,本科,8605
30044,154.3,54.08,硕士,11669
30045,175.4,69.33,硕士,19141
30046,156,66.13,硕士,14441
30047,157.8,63.32,博士,17513
30048,154.7,38.98,本科,9608
30049,159.6,44.9,本科,5241
30050,162.5,46.48,博士,14439
30051,177.3,49.22,博士,16090
30052,193.7,36.36,本科,13979
30053,180.3,61.1,硕士,13972
30054,190.9,72.08,本科,16670
30055,180.9,62.11,本科,12853
30056,198.2,47.95,硕士,7067
30057,188.6,54.4,博士,19389
30058,150.9,87.72,本科,7793
30059,185.9,45.25,本科,18513
30060,183.3,82,博士,9825
30061,197.6,72.64,硕士,7405
30062,196.7,89.08,博士,7480
30063,154.4,56.69,硕士,12817
30064,171.6,39.77,硕士,16794
30065,192.7,62.73,硕士,11753
30066,192.2,50.06,硕士,9951
30067,151.6,62.33,硕士,12229
30068,162.7,78.1,硕士,4595
30069,172.1,80.41,硕士,16863
30070,174.6,82.97,本科,16564
30071,161.4,82.72,博士,8545
30072,176.8,45.36,硕士,19254
30073,180.7,73.64,硕士,18079
30074,165.5,72.79,博士,11029
30075,166.2,42.99,本科,6799
30076,179.1,78.87,博士,17927
30077,183.7,71.34,硕士,8147
30078,161.8,43.53,博士,5720
30079,174.3,59.82,硕士,7077
30080,181.5,66.82,本科,17423
30081,167.4,52.7,博士,10773
30082,162.5,53.44,博士,15751
30083,185.9,68.07,硕士,19321
30084,176,67.76,本科,8541
30085,163.7,45.68,博士,6975
30086,159.7,84.87,本科,13696
30087,174.3,78.82,本科,19124
30088,184.7,87.62,本科,13082
30089,153.2,48.96,硕士,8163
30090,178.8,46.8,硕士,5703
30091,165.6,64.24,博士,11072
30092,177.9,40.18,博士,5259
30093,189.6,62.39,硕士,8284
30094,163.7,60.59,博士,17221
30095,194.7,47.81,本科,10501
30096,154,75.3,博士,11380
30097,177.7,73.55,本科,5771
30098,174.6,73.24,博士,6272
30099,161.5,85.45,本科,6595
30100,162.4,43.71,硕士,4449
30101,180,88.32,本科,7173
30102,191.4,52.68,本科,14793
30103,192.1,44.62,本科,8108
30104,168.4,61.99,硕士,15482
30105,187,40.02,硕士,8385
30106,183.6,35.93,本科,15499
30107,167.1,50.75,博士,10591
30108,193.5,74.41,硕士,8526
30109,185,70.82,博士,15193
30110,196.9,61.11,博士,16250
30111,167.7,71.67,硕士,6057
30112,163.3,41.98,本科,4886
30113,167.5,85.95,博士,12179
30114,182.6,71.42,硕士,5768
30115,155.2,65.74,硕士,9138
30116,161.5,85.9,本科,16089
30117,165.5,85.4,硕士,16726
30118,158.8,86.85,硕士,5463
30119,158.8,74.38,本科,15670
30120,179.6,73.31,本科,15533
30121,193.2,53,博士,16098
30122,193.9,72.91,博士,9604
30123,189.5,41,本科,13920
30124,172.2,57.94,博士,6339
30125,184,70.47,博士,16664
30126,198.6,75.19,本科,12631
30127,159,53.73,本科,10713
30128,172.5,37.99,博士,5189
30129,197,41.87,硕士,7210
30130,155,67.33,本科,12421
30131,161.5,43.77,博士,13973
30132,197.4,65.53,硕士,17191
30133,151.7,62.19,硕士,17406
30134,154.1,37.04,博士,17932
30135,179.9,46.08,博士,4390
30136,156,73.72,博士,10443
30137,198.9,72.96,本科,19669
30138,198.4,72.69,硕士,11297
30139,198,88,博士,10353
30140,198.5,88.95,本科,4629
30141,186.2,61.72,本科,6425
30142,180.5,37.65,博士,10750
30143,151.9,54.67,硕士,4944
30144,183.8,86.21,硕士,14299
30145,193.1,41.62,博士,15187
30146,180,37.92,博士,9635
30147,189.8,56.05,硕士,9075
30148,188.1,86.43,硕士,4939
30149,151.1,52.21,硕士,14625
30150,166.3,85.61,博士,15273
30151,181.9,79.4,本科,13149
30152,151.7,88.56,本科,10537
30153,190.8,87.45,本科,4013
30154,180.9,41.63,硕士,11186
30155,157.7,58.56,硕士,16518
30156,178.8,45.83,硕士,4844
30157,191.6,82.85,博士,18047
30158,190,75.73,硕士,16424
30159,160.7,65.43,本科,9357
30160,166.7,41.1,博士,8696
30161,166.5,67.19,硕士,14207
30162,196.3,87.34,博士,13617
30163,163,89.45,本科,4201
30164,178.9,68.33,本科,9832
30165,167.8,78.54,博士,16975
30166,175.9,73.74,本科,12457
30167,196.1,63.14,硕士,10907
30168,196.6,62.61,博士,7595
30169,158.1,47.16,本科,14357
30170,177.2,88.16,硕士,14312
30171,194.3,50.62,硕士,6835
30172,176.9,38,博士,8841
30173,178.3,65.11,本科,13388
30174,199.7,37.78,硕士,10703
30175,156.8,62.8,硕士,18119
30176,162.3,88.95,博士,11743
30177,180.7,77.92,博士,13849
30178,173.3,52.52,本科,12130
30179,193.5,37.44,硕士,10586
30180,178.9,41.81,博士,8759
30181,169.1,67.23,本科,14094
30182,176.4,65.95,本科,18277
30183,173.7,73.32,博士,12851
30184,185,41.91,本科,13097
30185,189.8,45.35,本科,4236
30186,186.9,78.76,硕士,16503
30187,158.1,86.3,博士,16972
30188,161.9,38.84,博士,19346
30189,167.2,52.65,本科,19653
30190,158.3,58.91,博士,10431
30191,154.5,44.2,硕士,19473
30192,193,56.13,硕士,19507
30193,153.8,55.79,本科,18480
30194,188.1,82.88,本科,18462
30195,158,62.43,本科,18744
30196,189.7,45.96,本科,18888
30197,162.3,46.91,博士,10920
30198,196.3,62.32,本科,7009
30199,164.9,42.21,本科,15697
30200,179.2,71.75,博士,15307
30201,161.6,77.03,本科,9762
30202,151.9,45.82,本科,19081
30203,196.7,54.55,硕士,5187
30204,196.5,59.88,博士,11874
30205,184.1,63.76,本科,4226
30206,157.3,43.38,本科,5089
30207,172.1,52.85,本科,15295
30208,151.6,56,本科,7212
30209,188.2,54.46,本科,14982
30210,160.7,47.05,博士,16650
30211,175.9,58.68,本科,19561
30212,166.3,38.98,本科,18088
30213,191.4,43.12,本科,13452
30214,175.6,63.25,本科,17866
30215,190.1,87.81,硕士,19492
30216,165.1,54.23,硕士,8132
30217,170.6,66.46,博士,17398
30218,178.9,48.58,本科,7293
30219,189,73.85,博士,15258
30220,174,63.89,博士,8526
30221,155.9,57.21,本科,11121
30222,158.5,60.07,博士,17908
30223,197.1,48.23,本科,17324
30224,185.3,68.55,硕士,5355
30225,194.2,65.31,博士,7752
30226,198.7,81.06,硕士,8274
30227,188.2,62.37,本科,8468
30228,185.4,48.35,本科,9630
30229,177.9,62.53,本科,17107
30230,158.9,42.01,博士,8802
30231,151.8,50.89,本科,17625
30232,199.1,69.66,本科,15139
30233,158.8,37.94,博士,10531
30234,171.1,60.85,硕士,4413
30235,154.6,43.06,博士,9895
30236,180.8,74.46,博士,12366
30237,185.3,53.77,博士,9713
30238,169.3,75.86,本科,6205
30239,174.1,73.61,博士,17801
30240,159,55.24,本科,11984
30241,153.5,71.28,本科,9559
30242,160.5,53.17,硕士,18205
30243,187.4,40.69,博士,6219
30244,192.1,79.55,本科,13731
30245,164.8,52.15,硕士,12143
30246,182,77.82,博士,4842
30247,197.7,66.47,博士,13374
30248,178.3,87.92,博士,19588
30249,160.9,58.19,本科,5420
30250,168,43.32,硕士,7846
30251,155.5,51.16,硕士,14952
30252,169.5,88.1,本科,16929
30253,181.2,88.77,硕士,7659
30254,191.9,54.11,硕士,8076
30255,161.1,56.25,本科,13844
30256,167,62.26,本科,15026
30257,168.8,81.51,本科,16316
30258,199.8,35.69,硕士,9085
30259,169.7,82.21,本科,14541
30260,194.4,61.82,硕士,12050
30261,196.4,78.08,硕士,15913
30262,168.4,36.26,本科,12340
30263,157.4,82.99,本科,6255
30264,167.1,39.34,硕士,12789
30265,178.1,48.46,博士,12973
30266,174.5,80.5,本科,18477
30267,190.7,73.81,硕士,12579
30268,166.8,83.92,博士,5780
30269,163,42.15,本科,15422
30270,176,39.07,博士,16967
30271,180.7,47.14,博士,15331
30272,155,51.17,本科,12858
30273,170.7,70.78,博士,6704
30274,171.1,38.92,博士,18263
30275,193.2,77.11,本科,5240
30276,162,77.25,硕士,19605
30277,197.2,37.83,本科,8359
30278,164.3,52.46,硕士,6417
30279,186.4,86.93,博士,16477
30280,199.3,80.58,博士,8129
30281,197.7,68.21,硕士,5291
30282,186.8,38.65,博士,9081
30283,158.1,58.82,博士,9285
30284,157.9,69.77,硕士,17106
30285,186.3,89.36,硕士,5865
30286,178.5,50.9,硕士,11215
30287,157.4,49.78,硕士,7907
30288,157.3,52.73,本科,9419
30289,167,48.12,本科,19675
30290,199.8,80.22,博士,4255
30291,187.3,79.9,博士,13645
30292,181.9,61.46,本科,18565
30293,193.8,68.7,硕士,9447
30294,186,58.46,硕士,16148
30295,155.6,37.1,硕士,10868
30296,150.1,40,博士,17077
30297,153.9,41.15,硕士,16172
30298,187.1,79.92,本科,7611
30299,154.2,58.56,本科,18224
30300,158.8,88.91,硕士,6800
30301,190.4,37.85,硕士,16929
30302,171.4,89.61,硕士,16019
30303,183.9,86.26,硕士,13229
30304,152.2,38.09,本科,17922
30305,157,55.75,硕士,16075
30306,159.3,40.85,硕士,6690
30307,187.2,54.83,博士,15486
30308,166.9,75.14,硕士,12737
30309,179.6,79.57,本科,11479
30310,190.2,64.03,硕士,15457
30311,174,75.65,博士,5566
30312,189.7,51.14,硕士,15547
30313,172.2,48.22,硕士,8498
30314,168.6,62.65,博士,5123
30315,198.3,63.13,本科,17245
30316,194.2,73.66,本科,7605
30317,198.9,78.94,硕士,16229
30318,179.1,73.72,硕士,14284
30319,176.8,60.51,博士,19845
30320,178.5,86.32,博士,7457
30321,162,41.85,硕士,13677
30322,153.9,75.76,硕士,17287
30323,187.5,44.15,硕士,17863
30324,156,70.51,硕士,11029
30325,192.7,76.78,本科,16151
30326,151.9,42.63,硕士,15210
30327,152.6,61.69,博士,19068
30328,171.9,40.98,本科,14180
30329,169.5,52.94,硕士,17873
30330,156.2,59.33,博士,12716
30331,157.5,51.29,本科,7770
30332,188.9,72.47,本科,8711
30333,187.1,56.43,博士,4142
30334,166.6,60.31,博士,13148
30335,172.4,61.05,本科,9322
30336,157.1,41.69,博士,17685
30337,159,57.48,本科,4247
30338,196.6,54.16,硕士,10033
30339,171.4,82.86,本科,18449
30340,167.9,46,本科,6477
30341,189.8,45.66,硕士,13940
30342,177.8,50.06,博士,7982
30343,157.3,36.62,本科,4494
30344,152.6,60.04,硕士,19213
30345,192.9,88.58,本科,12969
30346,184.4,69.41,博士,4363
30347,162.2,45.92,本科,12003
30348,169,39.52,硕士,17611
30349,171.6,80.25,博士,14824
30350,163.4,77.4,博士,19736
30351,179.8,57.17,本科,15397
